name,seq_length,fasta,protein_existence
A7ZLW1,111,0,4
A0A028E150,201,5,4
A0A192CDN4,388,2,4
V6FKA5,326,1,4
B7M9Z6,144,3,3
I2W9K8,85,1,4
A0A1S6T7G2,80,1,3
W8ZS39,269,1,4
S1IK49,479,0,3
A0A029GD71,425,0,4
A0A0H2YZ28,375,0,4
E0J6V1,449,0,4
A0A0S3NJU5,547,3,4
A0A0F3URL8,853,2,3
I4T7Q0,574,11,4
A0A1X3K4N5,52,1,4
T9DJD8,440,4,3
I1TDS1,77,1,4
T5V5G2,105,0,4
A0A0H2Z1F2,634,0,3
A0A070D7U7,296,3,4
E3XPE2,137,2,4
E1IVD3,332,2,4
S0XG20,188,0,4
I2W6V2,496,2,4
S0VGF3,404,0,4
A0A1X3IEW3,1674,15,4
L2VEG9,615,2,3
V6FZ97,183,1,4
W1X8N1,139,3,4
L4UYV2,146,3,3
D3H3Z6,420,3,3
A0A0G3K6V7,410,13,4
M9G0S7,169,0,4
A0A0K5DZ34,115,1,4
D7GKM2,323,1,3
A0A1X3IGQ1,385,2,4
E9TMT8,611,3,4
A0A211B152,426,0,4
A0A0S3NE35,220,1,3
B7MEI2,283,1,3
A0A085NZ47,530,10,4
A0A074I364,105,0,4
I2XEM0,115,6,3
A0A0H3MXN6,474,3,4
V0X6M3,166,2,4
H4L9X0,345,12,4
A7ZKP2,253,0,4
A0A074J995,301,1,4
T5V3H6,134,0,4
H4IBV3,47,0,4
A0A0G3KDW1,190,0,4
H4IWK9,343,2,4
K7QLR3,114,0,4
A0A1Z3ZCW9,97,0,4
E9N490,145,0,4
A0A220KG07,244,0,4
A0A070DES4,616,0,4
E9YZI8,200,2,4
Q6RI79,242,1,2
A0A140N622,523,1,3
U9Y3E8,476,0,4
V0VEB9,266,7,4
D6HYZ4,427,1,3
A0A0K3I6N5,186,0,4
H1ZXQ8,40,0,4
A0A1M0DVU8,295,3,4
A0A074I7U5,206,4,4
T6HZA0,583,2,4
A0A0F6F4X9,77,0,4
A0A069XGW5,191,2,4
A0A1M1B6Y7,507,1,4
A0A125X476,64,0,4
A0A1X3L5E3,324,2,4
A0A1X3KFP3,236,2,4
A0A1Z3V5M8,101,0,4
A0A0A8UL05,290,7,3
C3T6E5,542,1,4
H4J0G9,237,9,3
A0A026V349,933,1,4
A0A0S3N272,309,16,3
I2S4X5,419,12,4
V0SQF3,216,3,3
N3EVM5,549,9,3
V8KTX3,375,10,3
A0A0E1T2N8,172,0,3
L3CDZ3,548,2,3
V6G432,558,3,4
A0A0L1BWG4,401,1,4
A0A244AAW9,277,0,4
B7LG17,317,1,4
E1IJA2,299,8,3
L2XAU9,256,8,3
T5VBH9,434,1,4
A0A1X3KQ59,536,2,4
A0A0H2Z1S2,136,0,4
B7LR04,346,9,4
A0A073FTA2,509,15,4
A0A0A3TT56,71,1,4
A0A029IGN6,188,3,4
A0A234W7K8,186,0,4
C5A0H6,129,3,3
A0A0E1LFY2,296,1,4
A0A0H3EFM4,75,0,4
E3PGX1,345,1,3
P0A893,81,2,3
A7ZIC7,114,2,4
A0A023Z5T5,469,2,3
V6FTK1,228,2,4
L3C456,374,5,4
R8X2X6,474,4,4
E3PLJ5,428,2,3
M9FWI0,299,8,4
A0A1X3L4V5,356,0,3
A0A064SZ29,332,12,3
A0A193LVE7,347,2,4
A0A0E2TQE5,140,4,3
C3T6Y2,278,4,3
A0A1X3KUU1,324,12,4
A0A070FGX7,228,6,3
A0A0D8W701,251,1,4
B1X6G1,104,1,3
V8F6N8,885,2,4
G0F621,133,1,3
A0A228VNW4,82,0,4
H4UJ34,172,1,3
